#MLRT	#	IV
-	,	IV
She	O	IV
wants	V	IV
the	D	IV
D	N	IV
Again	R	OOV
huh	!	IV
lol	!	IV
			
I'm	L	IV
at	P	IV
Sultanahmet	!	OOV
Camii	^	IV
(	,	IV
Blue	A	IV
Mosque	N	OOV
)	,	IV
w/	P	OOV
@aajeeeeee	@	IV
http://t.co/irlMOrBPmw	U	IV
			
Boroko	!	OOV
haboyo	!	OOV
and	&	IV
there's	L	IV
so	R	IV
much	A	IV
trash	N	IV
I'm	L	IV
thinking	V	IV
about	P	IV
,	,	IV
I	O	IV
can't	V	IV
study	N	IV
.	,	IV
Wena	!	OOV
?	,	IV
RT	~	IV
@glo_riah	@	IV
:	,	IV
Ha	!	IV
o	!	IV
robale	!	OOV
??	,	IV
KayGeO	!	OOV
			
late	A	IV
night	N	IV
crusing	V	OOV
with	P	IV
big	A	IV
bro	N	IV
bok	!	IV
and	&	IV
daedae	^	IV
			
#Windows	#	IV
8	$	IV
Videos	N	OOV
~	G	OOV
Windows	^	IV
8	$	IV
,	,	IV
Spotify	^	IV
,	,	IV
Hulu	^	IV
Plus	L	OOV
and	&	IV
Apple	^	IV
NEWS	N	OOV
!	,	IV
#AskLana	#	IV
#Education	#	IV
#increaseyoutube	#	IV
http://t.co/H3hmOZMX35	U	IV
			
Jst	R	OOV
read	V	IV
a	D	IV
tweet	V	IV
and	&	IV
it	O	IV
made	V	IV
me	O	IV
say	V	IV
ew	!	IV
			
RT	~	IV
@__ImStillBoss	@	IV
:	,	IV
Love	N	IV
dont	V	IV
mean	V	IV
a	D	IV
thing	N	IV
if	P	IV
you	O	IV
arent	V	IV
loyal	A	IV
.	,	IV
			
I	O	IV
need	V	IV
some	D	IV
rest	N	IV
lol	!	IV
ive	L	IV
been	V	IV
on	P	IV
my	D	IV
shit	N	IV
the	D	IV
last	A	IV
couple	N	IV
of	P	IV
days	N	IV
.	,	IV
			
RT	~	IV
@info_arsenal	@	IV
:	,	IV
Arsenal	^	IV
and	&	IV
Liverpool	^	IV
target	N	IV
Antoine	^	IV
Griezmann	^	IV
is	V	IV
now	R	IV
wanted	V	IV
by	P	IV
Juventus	^	IV
			
@BassCampFest	@	IV
congrats	!	IV
@Casy_21	@	IV
&	&	OOV
omg	!	OOV
!!!	,	IV
thank	V	IV
u	O	IV
thank	V	IV
u	O	IV
!!!!	,	IV
			
RT	~	IV
@Luis34G	@	IV
:	,	IV
Masso	^	IV
