#MLRT	#	IV	5	#ML	LRT
-	,	IV	1	-	-
She	O	IV	3	She	She
wants	V	IV	5	wan	nts
the	D	IV	3	the	the
D	N	IV	1	D	D
Again	R	OOV	5	Aga	ain
huh	!	IV	3	huh	huh
lol	!	IV	3	lol	lol
			
I'm	L	IV	3	I'm	I'm
at	P	IV	2	at	at
Sultanahmet	!	OOV	11	Sul	met
Camii	^	IV	5	Cam	mii
(	,	IV	1	(	(
Blue	A	IV	4	Blu	lue
Mosque	N	OOV	6	Mos	que
)	,	IV	1	)	)
w/	P	OOV	2	w/	w/
@aajeeeeee	@	IV	10	@aa	eee
http://t.co/irlMOrBPmw	U	IV	22	htt	Pmw
			
Boroko	!	OOV	6	Bor	oko
haboyo	!	OOV	6	hab	oyo
and	&	IV	3	and	and
there's	L	IV	7	the	e's
so	R	IV	2	so	so
much	A	IV	4	muc	uch
trash	N	IV	5	tra	ash
I'm	L	IV	3	I'm	I'm
thinking	V	IV	8	thi	ing
about	P	IV	5	abo	out
,	,	IV	1	,	,
I	O	IV	1	I	I
can't	V	IV	5	can	n't
study	N	IV	5	stu	udy
.	,	IV	1	.	.
Wena	!	OOV	4	Wen	ena
?	,	IV	1	?	?
RT	~	IV	2	RT	RT
@glo_riah	@	IV	9	@gl	iah
:	,	IV	1	:	:
Ha	!	IV	2	Ha	Ha
o	!	IV	1	o	o
robale	!	OOV	6	rob	ale
??	,	IV	2	??	??
KayGeO	!	OOV	6	Kay	GeO
			
late	A	IV	4	lat	ate
night	N	IV	5	nig	ght
crusing	V	OOV	7	cru	ing
with	P	IV	4	wit	ith
big	A	IV	3	big	big
bro	N	IV	3	bro	bro
bok	!	IV	3	bok	bok
and	&	IV	3	and	and
daedae	^	IV	6	dae	dae
			
#Windows	#	IV	8	#Wi	ows
8	$	IV	1	8	8
Videos	N	OOV	6	Vid	eos
~	G	OOV	1	~	~
Windows	^	IV	7	Win	ows
8	$	IV	1	8	8
,	,	IV	1	,	,
Spotify	^	IV	7	Spo	ify
,	,	IV	1	,	,
Hulu	^	IV	4	Hul	ulu
Plus	L	OOV	4	Plu	lus
and	&	IV	3	and	and
Apple	^	IV	5	App	ple
NEWS	N	OOV	4	NEW	EWS
!	,	IV	1	!	!
#AskLana	#	IV	8	#As	ana
#Education	#	IV	10	#Ed	ion
#increaseyoutube	#	IV	16	#in	ube
http://t.co/H3hmOZMX35	U	IV	22	htt	X35
			
Jst	R	OOV	3	Jst	Jst
read	V	IV	4	rea	ead
a	D	IV	1	a	a
tweet	V	IV	5	twe	eet
and	&	IV	3	and	and
it	O	IV	2	it	it
made	V	IV	4	mad	ade
me	O	IV	2	me	me
say	V	IV	3	say	say
ew	!	IV	2	ew	ew
			
RT	~	IV	2	RT	RT
@__ImStillBoss	@	IV	14	@__	oss
:	,	IV	1	:	:
Love	N	IV	4	Lov	ove
dont	V	IV	4	don	ont
mean	V	IV	4	mea	ean
a	D	IV	1	a	a
thing	N	IV	5	thi	ing
if	P	IV	2	if	if
you	O	IV	3	you	you
arent	V	IV	5	are	ent
loyal	A	IV	5	loy	yal
.	,	IV	1	.	.
			
I	O	IV	1	I	I
need	V	IV	4	nee	eed
some	D	IV	4	som	ome
rest	N	IV	4	res	est
lol	!	IV	3	lol	lol
ive	L	IV	3	ive	ive
been	V	IV	4	bee	een
on	P	IV	2	on	on
my	D	IV	2	my	my
shit	N	IV	4	shi	hit
the	D	IV	3	the	the
last	A	IV	4	las	ast
couple	N	IV	6	cou	ple
of	P	IV	2	of	of
days	N	IV	4	day	ays
.	,	IV	1	.	.
			
RT	~	IV	2	RT	RT
@info_arsenal	@	IV	13	@in	nal
:	,	IV	1	:	:
Arsenal	^	IV	7	Ars	nal
and	&	IV	3	and	and
Liverpool	^	IV	9	Liv	ool
target	N	IV	6	tar	get
Antoine	^	IV	7	Ant	ine
Griezmann	^	IV	9	Gri	ann
is	V	IV	2	is	is
now	R	IV	3	now	now
wanted	V	IV	6	wan	ted
by	P	IV	2	by	by
Juventus	^	IV	8	Juv	tus
			
@BassCampFest	@	IV	13	@Ba	est
congrats	!	IV	8	con	ats
@Casy_21	@	IV	8	@Ca	_21
&	&	OOV	1	&	&
omg	!	OOV	3	omg	omg
!!!	,	IV	3	!!!	!!!
thank	V	IV	5	tha	ank
u	O	IV	1	u	u
thank	V	IV	5	tha	ank
u	O	IV	1	u	u
!!!!	,	IV	4	!!!	!!!
			
RT	~	IV	2	RT	RT
@Luis34G	@	IV	8	@Lu	34G
:	,	IV	1	:	:
Masso	^	IV	5	Mas	sso
wants	V	IV	5	wan	nts
the	D	IV	3	the	the
D	N	IV	1	D	D
@JohnMasso77	@	IV	12	@Jo	o77
			
RT	~	IV	2	RT	RT
@thetommocraic	@	IV	14	@th	aic
:	,	IV	1	:	:
whos	L	IV	4	who	hos
higher	A	IV	6	hig	her
,	,	IV	1	,	,
zayn's	L	OOV	6	zay	n's
high	!	IV	4	hig	igh
notes	N	IV	5	not	tes
or	&	IV	2	or	or
zayn	^	IV	4	zay	ayn
himself	O	IV	7	him	elf
			
Now	R	OOV	3	Now	Now
playing	V	IV	7	pla	ing
Dimension	N	OOV	9	Dim	ion
X	E	IV	1	X	X
-	,	IV	1	-	-
In	P	IV	2	In	In
The	D	IV	3	The	The
Mix	N	IV	3	Mix	Mix
(	,	IV	1	(	(
May	V	IV	3	May	May
2014	$	IV	4	201	014
C-A	^	IV	3	C-A	C-A
)	,	IV	1	)	)
on	P	IV	2	on	on
95.8	$	IV	4	95.	5.8
Larissa	^	IV	7	Lar	ssa
DeeJay	^	IV	6	Dee	Jay
			
RT	~	IV	2	RT	RT
@LivEchoEFC	@	IV	11	@Li	EFC
:	,	IV	1	:	:
Live	V	IV	4	Liv	ive
:	,	IV	1	:	:
Everton	^	IV	7	Eve	ton
FC	^	IV	2	FC	FC
news	N	IV	4	new	ews
and	&	IV	3	and	and
views	N	IV	5	vie	ews
,	,	IV	1	,	,
May	V	IV	3	May	May
26	$	IV	2	26	26
2014	$	IV	4	201	014
http://t.co/epLcSCCXzm	U	IV	22	htt	Xzm
			
Me	O	IV	2	Me	Me
regalan	!	OOV	7	reg	lan
RT	~	IV	2	RT	RT
p	G	IV	1	p	p
'	,	IV	1	'	'
mi	!	IV	2	mi	mi
evento	!	IV	6	eve	nto
xfa	!	OOV	3	xfa	xfa
?	,	IV	1	?	?
@Paulo_Bennetts	@	IV	15	@Pa	tts
@PABLOGARIBAY	@	IV	13	@PA	BAY
@eduardogaribayg	@	IV	16	@ed	ayg
@mon_gaitan	@	IV	11	@mo	tan
@yadteran	@	IV	9	@ya	ran
@anapaomijares	@	IV	14	@an	res
http://t.co/C3qS0TKadb	U	IV	22	htt	adb
			
@ScoutingMusic	@	IV	14	@Sc	sic
Lil	A	IV	3	Lil	Lil
Bamm	!	OOV	4	Bam	amm
Ft	V	OOV	2	Ft	Ft
Pooh	N	IV	4	Poo	ooh
Da	D	IV	2	Da	Da
Money	N	OOV	5	Mon	ney
Kid	^	IV	3	Kid	Kid
-Mob	N	OOV	4	-Mo	Mob
Shyt-	N	OOV	5	Shy	yt-
The	D	IV	3	The	The
official	A	IV	8	off	ial
Music	N	IV	5	Mus	sic
Video	N	OOV	5	Vid	deo
#Retweet	#	IV	8	#Re	eet
& LeaveAYoutubeComment	& ^	OOV	22	& L	ent
http://t.co/QFIExF4BRo	U	IV	22	htt	BRo
			
Im	L	IV	2	Im	Im
Feeling	V	OOV	7	Fee	ing
Some	D	IV	4	Som	ome
Type	N	OOV	4	Typ	ype
Of	P	IV	2	Of	Of
Way	N	IV	3	Way	Way
I	O	IV	1	I	I
Really	R	OOV	6	Rea	lly
Dont	V	OOV	4	Don	ont
Know	V	IV	4	Kno	now
Why	R	IV	3	Why	Why
But	&	IV	3	But	But
I	O	IV	1	I	I
Just	R	IV	4	Jus	ust
Do	V	IV	2	Do	Do
			
Geordie	^	IV	7	Geo	die
planking	V	IV	8	pla	ing
creep	V	IV	5	cre	eep
with	P	IV	4	wit	ith
magaluf	^	IV	7	mag	luf
