#MLRT	#mlrt
-	-
She	she
wants	wants
the	the
D	d
Again	again
huh	huh
lol	laughing out loud
			
I'm	i'm
at	at
Sultanahmet	sultanahmet
Camii	camii
(	(
Blue	blue
Mosque	mosque
)	)
w/	w/
@aajeeeeee	@aajeeeeee
http://t.co/irlMOrBPmw	http://t.co/irlmorbpmw
			
Boroko	boroko
haboyo	haboyo
and	and
there's	there's
so	so
much	much
trash	trash
I'm	i'm
thinking	thinking
about	about
,	,
I	i
can't	can't
study	study
.	.
Wena	wena
?	?
RT	rt
@glo_riah	@glo_riah
:	:
Ha	ha
o	o
robale	robale
??	??
KayGeO	kaygeo
			
late	late
night	night
crusing	crusing
with	with
big	big
bro	brother
bok	bok
and	and
daedae	daedae
			
#Windows	#windows
8	8
Videos	videos
~	~
Windows	windows
8	8
,	,
Spotify	spotify
,	,
Hulu	hulu
Plus	plus
and	and
Apple	apple
NEWS	news
!	!
#AskLana	#asklana
#Education	#education
#increaseyoutube	#increaseyoutube
http://t.co/H3hmOZMX35	http://t.co/h3hmozmx35
			
Jst	just
read	read
a	a
tweet	tweet
and	and
it	it
made	made
me	me
say	say
ew	ew
			
RT	rt
@__ImStillBoss	@__imstillboss
:	:
Love	love
dont	don't
mean	mean
a	a
thing	thing
if	if
you	you
arent	aren't
loyal	loyal
.	.
			
I	i
need	need
some	some
rest	rest
lol	laughing out loud
ive	i've
been	been
on	on
my	my
shit	shit
the	the
last	last
couple	couple
of	of
days	days
.	.
			
RT	rt
@info_arsenal	@info_arsenal
:	:
Arsenal	arsenal
and	and
Liverpool	liverpool
target	target
Antoine	antoine
Griezmann	griezmann
is	is
now	now
wanted	wanted
by	by
Juventus	juventus
			
@BassCampFest	@basscampfest
congrats	congratulations
@Casy_21	@casy_21
&	&
omg	oh my god
!!!	!!!
thank	thank
u	you
thank	thank
u	you
!!!!	!!!!
			
RT	rt
@Luis34G	@luis34g
:	:
Masso	masso
wants	wants
the	the
D	d
@JohnMasso77	@johnmasso77
			
RT	rt
@thetommocraic	@thetommocraic
:	:
whos	who's
higher	higher
,	,
zayn's	zayn's
high	high
notes	notes
or	or
zayn	zayn
himself	himself
			
Now	now
playing	playing
Dimension	dimension
X	x
-	-
In	in
The	the
Mix	mix
(	(
May	may
2014	2014
C-A	c-a
)	)
on	on
95.8	95.8
Larissa	larissa
DeeJay	deejay
			
RT	rt
@LivEchoEFC	@livechoefc
:	:
Live	live
:	:
Everton	everton
FC	fc
news	news
and	and
views	views
,	,
May	may
26	26
2014	2014
http://t.co/epLcSCCXzm	http://t.co/eplcsccxzm
			
Me	Me
regalan	regalan
RT	RT
p	p
'	'
mi	mi
evento	evento
xfa	xfa
?	?
@Paulo_Bennetts	@Paulo_Bennetts
@PABLOGARIBAY	@PABLOGARIBAY
@eduardogaribayg	@eduardogaribayg
@mon_gaitan	@mon_gaitan
@yadteran	@yadteran
@anapaomijares	@anapaomijares
http://t.co/C3qS0TKadb	http://t.co/C3qS0TKadb
			
@ScoutingMusic	@ScoutingMusic
Lil	little
Bamm	Bamm
Ft	Ft
Pooh	Pooh
Da	the
Money	Money
Kid	Kid
-Mob	-Mob
Shyt-	Shyt-
The	The
official	official
Music	Music
Video	Video
#Retweet	#Retweet
&LeaveAYoutubeComment	&LeaveAYoutubeComment
http://t.co/QFIExF4BRo	http://t.co/QFIExF4BRo
			
Im	i'm
Feeling	feeling
Some	some
Type	type
Of	of
Way	way
I	i
Really	really
Dont	don't
Know	know
Why	why
But	but
I	i
Just	just
Do	do
			
Geordie	geordie
planking	planking
creep	creep
with	with
magaluf	magaluf
!	!
:	:
EptV	eptv
			
@xistylesgucci	@xistylesgucci
I	i
feel	feel
stupid	stupid
coz	because
im	i'm
Arabic	arabic
and	and
dont	don't
know	know
why	why
people	people
do	do
that	that
lol	laughing out loud
